start_id,start_station_name,start_lat,start_lng,count
H32007, Broadway and Cabot,42.4021215,-71.0195408,26
452,1200 Beacon St,42.34414898749529,-71.11467361450195,14912
K32015,1200 Beacon St,42.344148,-71.114673,176
K32015,1200 Beacon St,42.34414898749529,-71.11467361450195,2460
K32015,1200 Beacon St,42.344149,-71.114674,4158
502,160 Arsenal,42.36466403441681,-71.17569386959076,3171
W32006,160 Arsenal,42.364664,-71.175694,1123
W32006,160 Arsenal St,42.364664,-71.175694,21
W32006,160 Arsenal St,42.364664,-71.175693,40
W32006,160 Arsenal St,42.36466403441681,-71.17569386959076,378
149,175 N Harvard St,42.363796,-71.129164,75320
A32019,175 N Harvard St,42.363796,-71.129164,4146
A32019,175 N Harvard St,42.364474,-71.128408,659
A32019,175 N Harvard St,42.364474565180565,-71.12840831285212,3557
A32019,175 N Harvard St,42.364475,-71.128408,6912
1,18 Dorrance Warehouse,42.387151,-71.075978,1371
X32999,18 Dorrance Warehouse,42.387151,-71.075978,39
378,191 Beacon St,42.38032335045416,-71.10878612855231,29215
S32035,191 Beacon St,42.380323,-71.108786,7509
S32035,191 Beacon St,42.38032335045416,-71.10878612855231,3511
493,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,167
C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,187
330,30 Dane St,42.38100143038052,-71.10402522613185,41065
S32023,30 Dane St,42.381001,-71.104025,11304
S32023,30 Dane St,42.38100143038052,-71.10402522613185,4348
330,30 Dane St.,42.38100143038052,-71.10402522613185,1155
286,30 Dane St. (former),42.38112284630097,-71.10410027224134,170
M32091,325 Binney St.,42.36722,-71.08903,1613
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,102767
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,19176
591,515 Somerville Ave (Temp. Winter Location),42.38322726839113,-71.10606908798218,1192
S32049,515 Somerville Ave (Temp. Winter Location),42.383227,-71.106069,108
S32049,515 Somerville Ave (Temp. Winter Location),42.38322726839113,-71.10606908798218,766
M32088,55 Wheeler Street,42.390821,-71.143946,1586
548,555 Metropolitan Ave,42.2681,-71.11924,93
C32106,555 Metropolitan Ave,42.2681,-71.11924,122
547,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,407
C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,401
481,645 Summer St,42.341780891371904,-71.03987016504107,5771
C32091,645 Summer St,42.34178,-71.03987,172
C32091,645 Summer St,42.341780891371904,-71.03987016504107,978
C32091,645 Summer St,42.341781,-71.03987,2369
237,699 Mt Auburn St,42.37497659215716,-71.14863030630659,559
333,699 Mt Auburn St,42.37500235137831,-71.14871613699506,17633
M32054,699 Mt Auburn St,42.375002,-71.148716,4620
M32054,699 Mt Auburn St,42.37500235137831,-71.14871613699506,2012
237,699 Mt Auburn St (former),42.37497659215716,-71.14863030630659,286
387,7 Acre Park,42.41143222973408,-71.06823265090497,5032
V32001,7 Acre Park,42.411432,-71.068233,1582
V32001,7 Acre Park,42.411432,-71.068232,30
V32001,7 Acre Park,42.41143222973408,-71.06823265090497,560
446,700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,49397
B32060,700 Commonwealth Ave.,42.349609,-71.103915,13237
B32060,700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,4826
371,700 Huron Ave,42.380788172914286,-71.15412890911102,7063
M32060,700 Huron Ave,42.380788,-71.154129,1553
M32060,700 Huron Ave,42.380788,-71.154128,84
M32060,700 Huron Ave,42.380788172914286,-71.15412890911102,386
398,75 Binney St,42.36550728505653,-71.0801375997653,32458
M32064,75 Binney St,42.365507,-71.080138,9211
M32064,75 Binney St,42.365507,-71.080137,670
M32064,75 Binney St,42.36550728505653,-71.0801375997653,4171
319,84 Cambridgepark Dr,42.3936,-71.143941,8442
M32058,84 Cambridgepark Dr,42.3936,-71.143941,2303
508,855 Broadway,42.398417726101584,-71.02390923402707,1031
H32006,855 Broadway,42.398417,-71.023909,13
H32006,855 Broadway,42.398417726101584,-71.02390923402707,109
H32006,855 Broadway,42.398418,-71.023909,379
592,87-101 Cambridgepark Drive,42.395221870310664,-71.14421904097979,161
M32084,87-101 Cambridgepark Drive,42.395221,-71.144219,146
M32084,87-101 Cambridgepark Drive,42.395221870310664,-71.14421904097979,1093
M32084,87-101 Cambridgepark Drive,42.395222,-71.144219,2752
158,8D OPS 01,0.0,0.0,3
153,8D OPS 03,45.505086,-73.566921,3
229,8D QC Station 01,0.0,0.0,4
229,8D QC Station 01,42.34503315560333,-71.09664916992188,4
230,8D QC Station 02,0.0,0.0,3
515,955 Mass Ave,42.36895180540729,-71.10998779535294,37488
M32073,955 Mass Ave,42.368951,-71.109987,1352
M32073,955 Mass Ave,42.36895180540729,-71.10998779535294,8048
M32073,955 Mass Ave,42.368952,-71.109988,17831
534,Adams Branch Library,42.286011,-71.054689,180
410,Adams St at Lonsdale St,42.291679428741226,-71.05726346409938,1890
C32065,Adams St at Lonsdale St,42.291679,-71.057263,512
C32065,Adams St at Lonsdale St,42.291679428741226,-71.05726346409938,131
563,Addison St at Saratoga St,42.38518146513944,-71.0151367,936
A32054,Addison St at Saratoga St,42.385181,-71.015137,1343
A32054,Addison St at Saratoga St,42.38518146513944,-71.0151367,124
9,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,17778
214,Airport T Stop - Bremen St at Brooks St,42.374075789479335,-71.03278415304885,136
214,Airport T Stop - Bremen St at Brooks St,42.374079742097614,-71.03276392826956,2227
214,Airport T Stop - Bremen St at Brooks St,42.37408320248276,-71.03274185079499,200
214,Airport T Stop - Bremen St at Brooks St,42.37410287664702,-71.03276431560516,350
214,Airport T Stop - Bremen St at Brooks St,42.374110605335304,-71.0327721095473,517
214,Airport T Stop - Bremen St at Brooks St,42.37411261907485,-71.03277500727926,257
214,Airport T Stop - Bremen St at Brooks St,42.37530443828819,-71.0312630455337,1346
214,Airport T Stop - Bremen St at Brooks St,42.37532834534001,-71.03132128715515,2551
214,Airport T Stop - Bremen St at Brooks St,42.37533522545788,-71.03131584841321,586
214,Airport T Stop - Bremen St at Brooks St,42.375339,-71.031304,1017
214,Airport T Stop - Bremen St at Brooks St,42.37534192670574,-71.03128910064696,3448
214,Airport T Stop - Bremen St at Brooks St,42.37535497133996,-71.03133335709572,3940
214,Airport T Stop - Bremen St at Brooks St,42.37536686015489,-71.03135883808136,146
A32032,Airport T Stop - Bremen St at Brooks St,42.374103,-71.032764,899
A32032,Airport T Stop - Bremen St at Brooks St,42.375354,-71.031318,1499
A32055,Airport T Stop - Bremen St at Brooks St,42.375354,-71.031318,273
385,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,21070
C32061,Albany St at E. Brookline St,42.336647,-71.068944,424
C32061,Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,2020
C32061,Albany St at E. Brookline St,42.336648,-71.068945,4524
183,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,26143
M32046,Alewife MBTA at Steel Place,42.395588,-71.142606,5413
M32046,Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,1976
142,Alewife Station at Russell Field,42.396105,-71.139459,27763
M32033,Alewife Station at Russell Field,42.396105,-71.139459,6511
66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,10206
66,Allston Green District - Griggs St at Commonwealth Ave,42.34852014581272,-71.13394662737846,4333
66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,13738
66,Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,42.34922469338298,-71.13275302578586,1323
422,American Legion Hwy at Canterbury St,42.278811581565975,-71.11687703062671,469
422,American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671,270
C32079,American Legion Hwy at Cummins Hwy,42.278811,-71.116877,10
C32079,American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671,62
C32079,American Legion Hwy at Cummins Hwy,42.278812,-71.116877,136
543,American Legion Hwy at Hyde Park Ave,42.27265394101898,-71.119903922081,108
C32101,American Legion Hwy at Hyde Park Ave,42.272653,-71.119903,1
C32101,American Legion Hwy at Hyde Park Ave,42.27265394101898,-71.119903922081,12
C32101,American Legion Hwy at Hyde Park Ave,42.272654,-71.119904,50
318,Ames St at Broadway,42.3636929,-71.0875672,60263
M32059,Ames St at Broadway,42.363692,-71.087567,807
M32059,Ames St at Broadway,42.3636929,-71.0875672,4771
M32059,Ames St at Broadway,42.363693,-71.087567,12255
107,Ames St at Main St,42.3625,-71.08822,207170
M32037,Ames St at Main St,42.3625,-71.08822,45268
113,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,5143
113,Andrew T Stop - Dorchester Ave at Dexter St,42.330473650415165,-71.05701684951782,18706
113,Andrew T Stop - Dorchester Ave at Dexter St,42.33073332585453,-71.05699850837482,2465
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.330733,-71.056999,4090
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.330733,-71.056998,1
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33073332585453,-71.05699850837482,917
20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,22950
20,Aquarium T Stop - 200 Atlantic Ave,42.35977,-71.051601,39
20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,88465
B32004,Aquarium T Stop - 200 Atlantic Ave,42.359912,-71.05143,12146
B32004,Aquarium T Stop - 200 Atlantic Ave,42.360441,-71.050439,2001
B32004,Aquarium T Stop - 200 Atlantic Ave,42.360441356231235,-71.05043940246105,3161
35,Arch St at Franklin St,42.35530156110769,-71.0582560300827,8832
35,Arch St at Franklin St,42.355335019412564,-71.0582291708306,53744
35,Arch St at Franklin St,42.35581929709065,-71.05887290099417,2877
D32004,Arch St at Franklin St,42.355335,-71.058229,12406
D32004,Arch St at Franklin St,42.355335019412564,-71.0582291708306,2522
244,Archdale Rd at Washington St,42.292706,-71.121145,193
339,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069,3065
C32048,Archdale Rd at Washington St,42.292665,-71.121195,12
C32048,Archdale Rd at Washington St,42.29266592872725,-71.12119538714069,133
C32048,Archdale Rd at Washington St,42.292666,-71.121195,487
244,Archdale Rd at Washington St (former),42.292706,-71.121145,87
475,Arsenal Yards,42.36277388549605,-71.15764854490408,9387
W32004,Arsenal Yards,42.362773,-71.157648,229
